date_time,gage_height
8/16/23 0:00,1.93
8/16/23 0:15,1.93
8/16/23 0:30,1.93
8/16/23 0:45,1.93
8/16/23 1:00,1.93
8/16/23 1:15,1.93
8/16/23 1:30,1.93
8/16/23 1:45,1.93
8/16/23 2:00,1.93
8/16/23 2:15,1.93
8/16/23 2:30,1.93
8/16/23 2:45,1.93
8/16/23 3:00,1.93
8/16/23 3:15,1.93
8/16/23 3:30,1.93
8/16/23 3:45,1.93
8/16/23 4:00,1.93
8/16/23 4:15,1.93
8/16/23 4:30,1.93
8/16/23 4:45,1.93
8/16/23 5:00,1.93
8/16/23 5:15,1.93
8/16/23 5:30,1.93
8/16/23 5:45,1.93
8/16/23 6:00,1.93
8/16/23 6:15,1.93
8/16/23 6:30,1.93
8/16/23 6:45,1.93
8/16/23 7:00,1.92
8/16/23 7:15,1.92
8/16/23 7:30,1.92
8/16/23 7:45,1.92
8/16/23 8:00,1.92
8/16/23 8:15,1.92
8/16/23 8:30,1.92
8/16/23 8:45,1.91
8/16/23 9:00,1.91
8/16/23 9:15,1.91
8/16/23 9:30,1.91
8/16/23 9:45,1.91
8/16/23 10:00,1.91
8/16/23 10:15,1.91
8/16/23 10:30,1.91
8/16/23 10:45,1.91
8/16/23 11:00,1.91
8/16/23 11:15,1.91
8/16/23 11:30,1.91
8/16/23 11:45,1.91
8/16/23 12:00,1.91
8/16/23 12:15,1.91
8/16/23 12:30,1.9
8/16/23 12:45,1.9
8/16/23 13:00,1.9
8/16/23 13:15,1.9
8/16/23 13:30,1.9
8/16/23 13:45,1.89
8/16/23 14:00,1.89
8/16/23 14:15,1.89
8/16/23 14:30,1.89
8/16/23 14:45,1.89
8/16/23 15:00,1.89
8/16/23 15:15,1.89
8/16/23 15:30,1.89
8/16/23 15:45,1.89
8/16/23 16:00,1.89
8/16/23 16:15,1.89
8/16/23 16:30,1.89
8/16/23 16:45,1.89
8/16/23 17:00,1.89
8/16/23 17:15,1.89
8/16/23 17:30,1.88
8/16/23 17:45,1.88
8/16/23 18:00,1.88
8/16/23 18:15,1.88
8/16/23 18:30,1.88
8/16/23 18:45,1.88
8/16/23 19:00,1.88
8/16/23 19:15,1.88
8/16/23 19:30,1.88
8/16/23 19:45,1.87
8/16/23 20:00,1.87
8/16/23 20:15,1.87
8/16/23 20:30,1.87
8/16/23 20:45,1.87
8/16/23 21:00,1.87
8/16/23 21:15,1.87
8/16/23 21:30,1.87
8/16/23 21:45,1.87
8/16/23 22:00,1.87
8/16/23 22:15,1.87
8/16/23 22:30,1.87
8/16/23 22:45,1.87
8/16/23 23:00,1.87
8/16/23 23:15,1.87
8/16/23 23:30,1.87
8/16/23 23:45,1.86
8/17/23 0:00,1.86
8/17/23 0:15,1.86
8/17/23 0:30,1.86
8/17/23 0:45,1.85
8/17/23 1:00,1.85
8/17/23 1:15,1.85
8/17/23 1:30,1.85
8/17/23 1:45,1.85
8/17/23 2:00,1.85
8/17/23 2:15,1.85
8/17/23 2:30,1.85
8/17/23 2:45,1.85
8/17/23 3:00,1.85
8/17/23 3:15,1.85
8/17/23 3:30,1.85
8/17/23 3:45,1.85
8/17/23 4:00,1.84
8/17/23 4:15,1.84
8/17/23 4:30,1.84
8/17/23 4:45,1.84
8/17/23 5:00,1.84
8/17/23 5:15,1.84
8/17/23 5:30,1.84
8/17/23 5:45,1.84
8/17/23 6:00,1.84
8/17/23 6:15,1.84
8/17/23 6:30,1.84
8/17/23 6:45,1.84
8/17/23 7:00,1.84
8/17/23 7:15,1.84
8/17/23 7:30,1.83
8/17/23 7:45,1.83
8/17/23 8:00,1.83
8/17/23 8:15,1.83
8/17/23 8:30,1.83
8/17/23 8:45,1.83
8/17/23 9:00,1.83
8/17/23 9:15,1.83
8/17/23 9:30,1.83
8/17/23 9:45,1.83
8/17/23 10:00,1.83
8/17/23 10:15,1.83
8/17/23 10:30,1.83
8/17/23 10:45,1.83
8/17/23 11:00,1.83
8/17/23 11:15,1.83
8/17/23 11:30,1.83
8/17/23 11:45,1.83
8/17/23 12:00,1.83
8/17/23 12:15,1.83
8/17/23 12:30,1.83
8/17/23 12:45,1.83
